Character_Name,ConvertS,ConvretR,ConvertL,StandS,StandR,StandL,WalkS,WalkR,WalkL,RunS,RunR,RunL,JumpS,JumpR,JumpL,FlyS,FlyR,FlyL,HitS,HitR,HitL,KickS,KickR,KickL,FireS,FireR,FireL,FallS,FallR,FallL,DamageS,DamageR,DamageL,DieS,DieR,DieL,Climb
Ben,1,1,1,20,1,1,10,6,6,20,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
Humungousaur,1,1,1,20,1,1,10,9,9,30,10,10,150,8,8,0,0,0,1,13,13,5,9,9,0,0,0,75,0,0,1,5,5,0,0,0,0
FourArms,1,1,1,20,1,1,0,0,0,35,5,5,300,3,3,0,0,0,1,5,5,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
DiamondHead,1,1,1,20,1,1,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,4,50,0,0,0,0,0,1,1,1,0
HeatBlast,1,1,1,20,1,1,0,0,0,30,7,7,0,0,0,0,0,0,0,0,0,0,0,0,20,5,5,50,0,0,0,0,0,0,0,0,0
WildMutt,1,1,1,20,1,1,25,4,4,70,2,2,350,8,8,0,0,0,0,0,0,0,0,0,0,0,0,175,1,1,0,0,0,1,1,1,0
StinkFly,1,1,1,20,1,1,0,0,0,0,0,0,0,0,0,50,5,5,0,0,0,0,0,0,20,5,5,0,0,0,0,0,0,1,1,1,0
RipJaws,1,1,1,20,1,1,15,4,4,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,50,0,0,0,0,0,1,1,1,0
BrainStorm,1,1,1,20,1,1,20,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
SpiderMonkey,1,1,1,20,1,1,15,8,8,50,7,7,150,7,7,0,0,0,0,0,0,0,0,0,0,0,0,75,1,1,0,0,0,0,0,0,4
Upgrade,1,1,1,20,1,1,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,7,7,50,0,0,0,0,0,1,1,1,0
